SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2011-12-31-23,2012-01-01-00,37.7,34.4,35.9,88,942.8,1,34.7,34.7,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-00,2012-01-01-01,36.7,33.9,34.3,90,942.9,1,34.5,34.5,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-01,2012-01-01-02,36.1,33.4,34.3,90,943.0,5,33.5,33.5,3,350,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-02,2012-01-01-03,35.7,33.2,34.5,91,942.5,8,33.2,33.2,3,0,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-03,2012-01-01-04,35.7,33.2,34.5,91,942.1,9,32.7,32.7,3,10,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-04,2012-01-01-05,34.9,32.7,32.8,92,941.8,12,32.2,32.2,3,20,0.00,0,0,0,3
Madrid History 2012,581525,2012-01-01-05,2012-01-01-06,34.0,31.9,32.9,93,941.8,13,31.8,31.8,2,30,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-01-06,2012-01-01-07,32.7,30.9,31.3,93,941.8,18,31.3,31.3,2,40,0.00,0,0,0,2
Madrid History 2012,581525,2012-01-01-07,2012-01-01-08,31.2,29.5,31.4,94,942.1,20,31.2,31.2,1,50,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-01-08,2012-01-01-09,32.4,30.7,31.4,94,941.8,23,32.4,32.4,1,360,0.00,0,0,0,1
Madrid History 2012,581525,2012-01-01-09,2012-01-01-10,40.5,36.0,37.2,84,941.7,24,40.5,40.5,1,330,0.00,75,47,217,1
Madrid History 2012,581525,2012-01-01-10,2012-01-01-11,48.2,35.6,42.4,62,944.7,22,48.2,48.2,2,240,0.00,219,71,556,2
Madrid History 2012,581525,2012-01-01-11,2012-01-01-12,48.3,37.4,43.0,66,944.7,22,48.3,48.3,2,360,0.00,341,80,704,2
Madrid History 2012,581525,2012-01-01-12,2012-01-01-13,48.9,35.8,42.2,61,943.8,35,48.9,48.9,1,340,0.00,418,87,767,1
Madrid History 2012,581525,2012-01-01-13,2012-01-01-14,50.6,36.9,43.4,59,942.5,100,50.6,50.6,2,230,0.00,441,87,791,2
Madrid History 2012,581525,2012-01-01-14,2012-01-01-15,50.8,37.5,43.6,60,941.3,100,49.9,49.9,3,220,0.00,401,83,768,3
Madrid History 2012,581525,2012-01-01-15,2012-01-01-16,52.0,37.5,44.8,58,939.4,65,49.6,49.6,6,210,0.00,313,73,716,7
Madrid History 2012,581525,2012-01-01-16,2012-01-01-17,48.4,38.1,43.3,68,939.4,17,45.8,45.8,5,210,0.00,187,63,570,6
Madrid History 2012,581525,2012-01-01-17,2012-01-01-18,41.9,37.6,39.0,85,939.3,12,38.3,38.3,5,210,0.00,46,31,211,6
Madrid History 2012,581525,2012-01-01-18,2012-01-01-19,40.6,37.2,37.7,88,939.4,7,36.9,36.9,5,220,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-01-19,2012-01-01-20,39.2,36.3,37.8,89,940.0,4,35.7,35.7,4,240,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-20,2012-01-01-21,38.7,36.0,36.3,91,939.7,6,35.2,35.2,4,250,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-21,2012-01-01-22,38.2,35.8,36.4,92,939.5,32,34.5,34.5,4,240,0.00,0,0,0,5
Madrid History 2012,581525,2012-01-01-22,2012-01-01-23,38.4,36.3,36.5,93,939.3,51,34.2,34.2,5,230,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-01-23,2012-01-02-00,38.5,36.8,36.6,94,939.3,87,33.8,33.8,5,230,0.00,0,0,0,6
Madrid History 2012,581525,2012-01-02-00,2012-01-02-01,38.8,37.4,36.7,95,939.4,92,34.0,34.0,6,240,0.00,0,0,0,7
Madrid History 2012,581525,2012-01-02-01,2012-01-02-02,39.7,38.3,38.5,95,938.8,60,34.0,34.0,7,260,0.00,0,0,0,8
Madrid History 2012,581525,2012-01-02-02,2012-01-02-03,39.0,37.7,36.8,96,938.9,69,33.3,33.3,7,260,0.00,0,0,0,8
